,Hrv171-Tox-24H,Hrv172-Tox-24H,Hrv135-Lis-24H,Hrv136-Lis-24H,Hrv107-2D9-24H,Hrv124-2D9-24H,Hrv168-2D9-24H
GM-CSF,1.411792288,0.368330323,3.720318312,1.351433749,0.849245094,2.059600772,2.845771603
IL-1b,-0.32706458,-1.325600999,3.455789474,1.007824199,1.346741959,2.791707421,0.156367636
MIP-1a,0.68310185,0.581342523,2.926863473,1.105949032,0.237058633,1.036291772,0.507351175
IL-10,0.095974109,0.412125706,1.719566829,-0.236592616,0.752368095,0.532311175,1.813167463
G-CSF,1.411231449,0.743397371,1.012009027,0.505594634,0.222492599,-1.487969499,1.063269072
IL-1RA,0.551391394,-0.65968628,2.57091486,1.468294728,-1.186944544,0.488537933,-1.505220031
RANTES,-0.392633664,-0.142554409,1.425776118,0.478112063,0.631392883,-0.306654176,0.258300961
MIP-1b,1.622376442,1.51590814,3.159348339,0.473798806,0.201635104,0.41413889,0.618343329
IL1-a,0,-2.924910525,1.333725409,0.617828353,0.316183287,0,0
IP-10,2.978858192,4.533038182,0.661974686,0.182669397,-0.241629499,-0.097434854,2.090044727
GRO,0.329585849,0.064138462,0.116932428,0.060490395,-0.017205277,0.003667509,0.076805964
IL-6,0.368719493,-0.004757364,-0.033590103,-0.408999787,0.035678596,-0.007416114,0.047875754
IL-8,0.332318145,0.014064356,0.273378635,-0.094602897,-0.007517568,-0.044109857,0.056745328
MCP-1,2.521204461,0.946429153,0.085965146,-0.044578278,-0.357040361,-0.03213652,0.685713946
MCP-3,3.100737017,3.181276407,0.140648243,-0.282318282,-0.596850042,-0.345778075,1.326828678
MDC,2.155028656,3.225557131,-0.839144469,-0.707200447,0.91175563,-0.400493477,1.092264366